"lang"
{
	"Language"		"koreana"
"upgrade_extra_charge_desc"	"능력의 최대 <span class=\"highlight\">충전량</span>을 하나 추가합니다."
"BonusSpiritForChargedAbilities_prefix"						"+"
"BonusSpiritForChargedAbilities_label"						"충전된 능력에 대한 보너스 스피릿 위력"

//Hyper Charge
"upgrade_bonus_ability_charge_3_desc"	"<span class=\"highlight\">+{s:BonusAbilityCharges}</span>를 능력의 최대 <span class=\"highlight\">충전량</span>에 추가합니다."

//Charge Mastery
"upgrade_charge_mastery_passive"	"충전된 능력의 피해량이 <span class=\"highlight\">{s:BonusChargedAbilityDamage}%</span> 증가하고 <span class=\"highlight\">{s:BonusChargedCooldownReduction}%</span> 쿨다운이 줄어듭니다."

//Rapid Recharge
"CooldownReductionOnChargedAbilities_label"	"충전된 능력의 쿨다운 감소"
"CooldownReductionOnChargedAbilities_postfix" "%"
"CooldownReductionOnChargedAbilities_prefix" "+"

//Alchemical Fire
"upgrade_thermal_detonator_desc"		"접촉 시 폭발하는 플라스크를 던져, 초당 증가하는 <span class=\"highlight\">스피릿 피해</span>를 발생시키고 적이 팀의 추가 <span class=\"highlight\">무기 피해</span>를 받게 합니다.<br><br>비영웅에게는 {s:NonHeroReductionPercent}% 낮은 DPS를 제공합니다."
"BonusBaseWeaponDamageTaken_prefix"		"+"
"BonusBaseWeaponDamageTaken_label"		"무기 피해"
"BonusBaseWeaponDamageTaken_postfix"	"%"

//Fleetfoot
"upgrade_fleetfoot_boots_active_desc"	"보너스 <span class=\"highlight\">이동 속도</span>와 <span class=\"highlight\">탄약</span>을 얻습니다."
"upgrade_fleetfoot_boots_passive_desc"	"사격 중 <span class=\"highlight\">이동 속도</span> 패널티가 제거됩니다."
"modifier_fleetfoot_boots"				"플릿풋"

//Kinetic Dash
"upgrade_kinetic_sash_desc"		"다음 <span class=\"highlight\">대시 점프</span>에 추가 스태미나가 소모되지 않으며, 다음 재장전까지 <span class=\"highlight\">연사 속도</span>와 보너스 <span class=\"highlight\">탄약</span>을 얻습니다. 최대 {s:AbilityDuration}초 동안 지속됩니다."
"modifier_kinetic_sash_triggered"	"키네틱 대시"

//Active Reload
"upgrade_active_reload_desc"	"재장전 중 표시된 구간에서 [{s:key_reload}]를 누르면 재장전을 <span class=\"highlight\">즉시 완료</span>하고 <span class=\"highlight\">연사 속도</span>와 <span class=\"highlight\">총탄 흡혈</span>을 얻습니다."
"upgrade_active_reload/buff"	"액티브 재장전"

//Arcane Medallion
"upgrade_arcane_medallion_desc"	"적 영웅에게 <span class=\"highlight\">{s:MinimumDamage} 스피릿 피해</span>를 입힐 때마다 <span class=\"highlight\">임시 스피릿 위력</span>을 얻습니다."
"modifier_arcane_medallion_triggered"	"신비의 메달"

//Soul Disruptor
"upgrade_mod_disruptor_desc"	"접촉 시 폭발하는 수류탄을 던져 <span class=\"highlight\">침묵</span>과 <span class=\"highlight\">증가하는 피해량</span>을 적에게 적용합니다."

//Ability Speed	
"upgrade_ability_speed_desc"		"이동 기반 능력 사용 중 이동 속도가 증가합니다."

//Rescue
"upgrade_succor_desc"				"<span class=\"highlight\">끌어당겨</span> 목표 팀원을 전투에서 빼내어 당신 곁으로 데려옵니다."

//Slowing Hex
"upgrade_containment_desc"			"대상에게 <span class=\"highlight\">스피릿 피해</span>를 입히고 <span class=\"highlight\">이동 속도 둔화</span>와 대시 속도를 감소시킵니다. 또한 <span class=\"highlight\">이동 기반 아이템과 능력을 차단</span>합니다.<br>대상의 스태미나 사용에는 영향을 미치지 않습니다."

//Withering Whip
"upgrade_withering_whip_desc"		"적을 지정하여 <span class=\"highlight\">연사 속도 감소</span>와 <span class=\"highlight\">총탄 저항 감소</span>을 적용합니다."
"modifier_withering_whip_debuff"	"연사 속도 감소"
"MagicAmp_label"					"스피릿 증폭"
"MagicAmp_postfix"					"%"
"WitheringWhipDisarmDuration_label"	"지속 시간"
"WitheringWhipDisarmDuration_postfix"	"초"
"SpiritPower_label"					"스피릿 위력"
"SpiritPower_prefix"					"+"

//Ethereal Shift
"upgrade_self_bubble_desc"			"공허 상태에 들어가 <span class=\"highlight\">대상 불가 및 무적</span> 상태가 되며, 이 동안 이동하거나 어떤 행동도 할 수 없습니다. 이후 <span class=\"highlight\">즉시 재장전</span>하고 보너스 <span class=\"highlight\">스피릿 위력</span>을 얻습니다.<br>[{s:in_mantle}]을 눌러 일찍 종료할 수 있습니다."
"ShiftingVeilDuration_label"			"지속 시간"
"ShiftingVeilDuration_postfix"		"초"
"BonusSpiritDuration_label"			"보너스 스피릿 위력 지속 시간"
"BonusSpiritDuration_postfix"			"초"
"modifier_shifting_veil_buff"			"에테리얼 시프트"
"shifting_veil_bonus_spirit"			"보너스 스피릿 위력"
"modifier_citadel_bubble"				"에테리얼 시프트"

//Stasis Bomb
"upgrade_stasis_bomb_active1"		"주위에 <span class=\"highlight\">EMP 오라</span>를 생성하고 {s:AbilityDuration}초 동안 <span class=\"highlight\">무적</span> 상태가 되며, 이 동안 {s:MoveSpeedMax}m/s 이동 속도를 가지며 공격, 능력 사용, 또는 특별 이동이 불가능합니다. 자신에게 사용할 수 있습니다."
"upgrade_stasis_bomb_active2"		"<span class=\"spacer\"></span><br>스태시스가 전체 지속 시간 동안 지속되면, 근처의 적을 <span class=\"highlight\">기절시키고 피해를 입힙니다</span>."
"upgrade_stasis_bomb_desc_passive"	"당신의 총알은 적 영웅에게 <span class=\"highlight\">EMP</span>를 충전시켜, 능력 사용을 방해합니다."
"upgrade_stasis_bomb/modifier_citadel_bubble"	"스태시스 폭탄"

//Quarantine
"upgrade_quarantine_desc"			"적 영웅을 격리시켜 <span class=\"highlight\">무적</span> 상태로 만들지만, 동시에 <span class=\"highlight\">침묵</span>과 <span class=\"highlight\">무장 해제</span> 상태로 만듭니다."

//Rescue Beam
"upgrade_rescue_beam_desc"		"자신과 대상 영웅의 최대 체력의 일정 비율을 <span class=\"highlight\">치유</span> 합니다. 치유하는 동안 단 한번 <span class=\"highlight\">끌어당기기</span>를 사용해 대상 영웅을 당신 쪽으로 끌어올 수 있습니다. 자신에게 사용할 수 있습니다."
"SelfModifier_label"			"자기 치유 비율"
"SelfModifier_postfix"			"%"
"upgrade_rescue_beam_pull"		"목표 끌어당기기"
"modifier_succor_move"			"구출 광선"

//[Deprecated] Duration Extender
"upgrade_duration_extender_desc"	"능력과 아이템의 <span class=\"highlight\">지속 시간</span>을 <span class=\"highlight\">{s:NonImbuedBonusDuration}%</span>만큼 증가시킵니다."

//Slowing Spirit
"upgrade_slowing_tech_desc"		"스피릿 피해를 입히면 <span class=\"highlight\">이동 속도 둔화</span>를 적용합니다."
"modifier_slowing_tech_slow"					"느려지는 스피릿"
"upgrade_slowing_tech/modifier_slowing_tech_proc/modifier_slow_base"						"느려짐"

//Energy
"upgrade_tech_3_desc"				"큰 폭으로 <span class=\"highlight\">에너지</span>를 증가시킵니다."
		
//Refresher
"upgrade_ability_refresher_desc"	"<span class=\"highlight\">모든 능력의 쿨다운을 초기화</span>하고 <span class=\"highlight\">모든 충전량을 복원</span>합니다."
"upgrade_ability_refresher_innate_desc" "체력<br>스피릿 위력"

//Spirit Barrier Pulse
"upgrade_aoe_tech_shield_desc"		"당신과 근처의 모든 아군 유닛에게 <span class=\"highlight\">스피릿 장벽</span>을 일시적으로 부여합니다."
"upgrade_aoe_tech_shield/modifier_duration" "스피릿 장벽 파동"

//Cold Front
"upgrade_cold_front_desc"			"확장되는 얼음 폭발을 방출하여 <span class=\"highlight\">스피릿 피해</span>를 입히고 적의 <span class=\"highlight\">이동 속도</span>를 감소시킵니다."
		
//Knockdown
"upgrade_target_stun_desc"			"대상이 <span class=\"highlight\">{s:StunDelay}s 지연 시간</span> 후<span class=\"highlight\">넘어지고</span> <span class=\"highlight\">기절</span>하여, 행동을 방해하고 일시적으로 모든 행동을 하지 못하게 합니다."
		
//Vacuum Web
"upgrade_aoe_root_active"		"<span class=\"highlight\">진공</span> 수류탄을 던져 모든 적을 작은 지역으로 끌어들이고, 그들이 <span class=\"highlight\">묶인</span> 상태로 유지됩니다."
								
//Quantum Chimaera
"upgrade_tech_cleave_desc"			"당신의 기술 공격이 추가로 근처 적에게 <span class=\"highlight\">총 피해의 75%</span>를 입힙니다."

//Spirit Armor Reduction Aura
"upgrade_tech_armor_reduction_aura_desc"	"근처 적이 받는 <span class=\"highlight\">스피릿 피해</span>를 증가시킵니다."
"modifier_tech_armor_reduction"																					"스피릿 저항 감소"
"modifier_tech_armor_reduction_aura"					"스피릿 저항 감소 오라"
	
//Camouflage Suit
"upgrade_camouflage_desc"					"<span class=\"highlight\">보이지 않게</span> 되며 <span class=\"highlight\">이동하거나 공격하지 않으면</span> 계속해서 투명 상태를 유지합니다. 피해를 받아도 영웅이 드러나지 않습니다. 투명 상태일 때 보너스 재생 효과를 얻습니다."

//Curse
"upgrade_glitch_desc"					"적을 저주하여 - <span class=\"highlight\">방해, 침묵, 무장 해제</span> 및 <span class=\"highlight\">아이템 사용 차단</span>을 적용합니다."
"upgrade_glitch/modifier_glitch_debuff"	"저주받음!"

//Bullet Resist Shredder
"upgrade_bullet_resist_shredder_desc"	"스피릿 피해를 입힐 때 적의 <span class=\"highlight\">총탄 저항</span>을 감소시킵니다."
"upgrade_bullet_resist_shredder/modifier_bullet_armor_shredder_proc/modifier_bullet_armor_shredder" "총탄 저항 감소"

 //Weapon Eater
"upgrade_weapon_eater_desc"				"용기를 <span class=\"highlight_weapon\">{s:BaseBonusCounter}</span>만큼 감소시킵니다. <br>적 영웅을 처치하면 <span class=\"highlight_weapon\">{s:WeaponPowerPerKill} 용기</span>를 얻습니다 (최대 <span class=\"highlight_weapon\">{s:MaxWeaponPower}</span>) 하지만 <span class=\"highlight_weapon\">죽을 때</span> <span class=\"highlight_weapon\">{s:WeaponPowerPerDeath} 용기</span>를 잃습니다. 피해가 {s:KillWindow}s 이내에 가해졌을 경우 보너스가 적용됩니다."
"upgrade_weapon_eater/modifier_weapon_eater_display"			"무기 포식자"

//Reloader + Huge Clip
"upgrade_weapon_instant_reload_desc"	"재장전 중 [재장전] 키를 눌러 재장전을 즉시 완료합니다."

//Echo Shard
"upgrade_ability_power_shard_active"	"<span class=\"highlight\">최근 사용한 궁극기가 아닌 능력의 쿨다운을 초기화</span>합니다."

//Imbued Ability
"upgrade_imbued_ability_passive1"		"이 모드를 구입한 후, 능력을 선택하여 <span class=\"highlight\">{s:ImbuedBonusDuration}% 보너스 지속 시간</span>과 <span class=\"highlight\">{s:ImbuedBonusDamage}% 보너스 피해</span>를 부여합니다."
"upgrade_imbued_ability_passive2"		"당신의 스피릿 피해가 <span class=\"highlight\">대상의 이동 속도를 감소</span>시킵니다."
		
//Duration Extender
"upgrade_arcane_extension_desc"	"당신의 능력과 아이템의 <span class=\"highlight\">지속 시간</span>을 증가시킵니다."

//Superior Duration
"upgrade_imbued_duration_extender_desc"	"당신의 능력과 아이템의 <span class=\"highlight\">지속 시간</span>을 증가시킵니다."

//Diviner's Kevlar
"upgrade_diviners_kevlar_desc"			"<span class=\"highlight\">궁극기 능력</span>을 사용할 때 일시적으로 <span class=\"highlight\">총탄 보호막, 스피릿 보호막</span> 및 <span class=\"highlight\">스피릿 위력</span>을 얻습니다."
"BonusChannelTechPower_label"			"채널링 중 스피릿 위력"
"BonusChannelTechPower_prefix"			"+"
"BonusChannelTimePercentage_label"		"채널 지속 시간"
"BonusChannelTimePercentage_prefix"		"+"
"BonusChannelTimePercentage_postfix"	"%"
"ChannelBulletShield_label"				"채널링 중 총알 장벽"

//Infuser
"upgrade_infuser_desc"			"<span class=\"highlight\">스피릿 위력</span>과 <span class=\"highlight\">스피릿 생명력 흡수</span>를 얻습니다."

//Spirit Strike
"upgrade_acolytes_glove_desc"			"영웅에게 <span class=\"highlight\">가벼운 또는 강력한 근접 공격</span>을 수행할 때, 추가로 <span class=\"highlight\">스피릿 피해</span>를 입히고 대상의 <span class=\"highlight\">스피릿 저항</span>을 감소시킵니다."
"SpiritDamage_label"						"스피릿 피해"
"modifier_acolytes_glove_triggered"		"스피릿 타격"

//Melee Charge
"upgrade_melee_charge_desc"				"당신의 <span class=\"highlight\">강력한 근접 공격</span> 거리를 증가시킵니다. 적에게 <span class=\"highlight\">강력한 근접 공격</span>이 적중하면, 무기가 <span class=\"highlight\">즉시 재장전</span>됩니다."

//Charmed Wraps
"upgrade_charmed_wraps_desc"			"영웅에게 <span class=\"highlight\">강력한 근접 공격</span>을 수행할 때, 또는 {s:LightMeleeTimeWindow}s 이내에 두 번의 가벼운 근접 공격을 수행할 때 능력의 <span class=\"highlight\">쿨다운</span>이 감소합니다."

//Clarity
"upgrade_magic_clarity_desc"			"능력 또는 아이템 사용 시, {s:AbilityDuration}s 동안 <span class=\"highlight\">이동 속도</span> 보너스를 얻습니다. 다음 능력 사용 시 이동 속도 보너스가 제거되고 그 능력에 <span class=\"highlight\">스피릿 위력</span> 보너스가 적용됩니다."
"ClarityBonusSpirit_prefix"				"{s:sign}"
"ClarityBonusSpirit_label"				"다음 능력 보너스 스피릿 위력"

 //Surge of Power
"upgrade_magic_storm_desc"				"능력 하나에 <span class=\"highlight\">영구적인 스피릿 위력</span>을 부여합니다. 그 능력을 사용할 때 보너스 <span class=\"highlight\">이동 속도</span>를 얻습니다."
"modifier_upgrade_magic_storm"			"힘의 쇄도"

//Suppressor
"upgrade_suppressor_desc"					"적에게 <span class=\"highlight\">스피릿 피해</span>를 입힐 때, <span class=\"highlight\">연사 속도 감소</span>를 적용합니다."
"suppressor_debuff"						"연사 속도 감소"

//Quicksilver Reload
"upgrade_quick_silver_desc"				"능력 하나를 연동합니다. 그 능력이 적에게 처음 피해를 입히면 추가 <span class=\"highlight\">스피릿 피해</span>를 입힙니다. 또한 해당 능력을 사용할 때 무기가 <span class=\"highlight\">재장전</span>되고, 그 클립에 <span class=\"highlight\">연사 속도</span> 보너스가 적용됩니다."
"modifier_quick_silver_buff"				"+연사 속도"

// Magic carpet
"upgrade_magic_carpet_desc"				"마법 카펫을 소환하여 당신을 날아가게 합니다. 날아가는 동안 총알 및 스피릿 보호막을 얻습니다. 카펫을 소환하는 동안 능력을 사용할 수 없습니다. 날아가는 동안 어떤 행동을 하면 카펫이 사라집니다."
"modifier_magiccarpet"					"마법 카펫"
"modifier_summon_magiccarpet"			"마법 카펫 소환 중"
"MagicCarpetMoveSpeed_prefix"			"+"
"MagicCarpetMoveSpeed_label"			"보너스 비행 속도"
"MagicCarpetMoveSpeed_postfix"			"m/s"

		//-----------------------------------------------------------------------------
		// Upgrades: Armor
		//-----------------------------------------------------------------------------
	//Toughness
"upgrade_toughness_3_desc"					    "<span class=\"highlight\">체력</span>과 <span class=\"highlight\">체력 재생</span>을 증가시킵니다."

//Bullet Lifesteal
"upgrade_vampire_desc"							"당신의 <span class=\"highlight\">총알이 적에게 입힌 피해</span>의 일부를 회복합니다. 비영웅 대상에게는 반 효과적입니다."

//Health Regen
"upgrade_health_regen_1_desc"					"<span class=\"highlight\">체력 재생</span>을 증가시킵니다."

//Healing Rite
"upgrade_health_stimpak_desc"					"대상에게 <span class=\"highlight\">재생</span>과 <span class=\"highlight\">스프린트 속도</span>를 부여합니다. 적으로부터 피해를 받으면 효과가 해제됩니다. 자기 자신에게 사용할 수 있습니다."
"upgrade_health_stimpak/modifier_stimpak_regen"			"치유의 의식"

//Divine Barrier
"upgrade_savior_desc"				"대상에게 <span class=\"highlight\">총탄 보호막, 스피릿 보호막, 이동 속도</span>를 부여합니다. 자기 자신에게 사용할 수 있습니다."
"SaviorBulletShieldHealth_label"		"총탄 보호막"
"SaviorMagicShieldHealth_label"		"스피릿 보호막"
"BuffDuration_label"					"지속 시간"
"BuffDuration_postfix"				"s"

//Restorative Locket
"upgrade_restorative_locket_passive_desc"		"적이 당신의 {s:Radius}m 범위 내에서 능력을 사용할 때마다 하나의 <span class=\"highlight\">복원 스택</span>을 저장합니다."
"upgrade_restorative_locket_active_desc"		"모든 스택을 소비하여 <span class=\"highlight\">대상 아군을 치유</span>합니다. 최대 스택에서 사용할 경우 대상의 <span class=\"highlight\">체력</span>을 완전히 회복합니다. 자기 자신에게 사용할 수 있습니다."
"modifier_restorative_locket_stacks"				"복원 로켓"
"HealPerStack_label"								"스택당 치유량"

//Bullet Deflector
"upgrade_health_bullet_deflector_desc"			"들어오는 총알 피해의 <span class=\"highlight\">{s:BulletDamageReductionPct}%</span>를 방어하며, 초당 최대 <span class=\"highlight\">{s:BulletDamageReductionPerSecond}</span>의 피해를 방어합니다."

//Regenerative Armor
"upgrade_health_regenerative_armor_desc"		"자동으로 <span class=\"highlight\">총알 피해로부터 잃은 체력</span>을 회복하며, 초당 최대 <span class=\"highlight\">{s:BulletDamageRecoveredPerSecond} 체력</span>을 재생합니다."

//Bullet Armor
"upgrade_bullet_armor_desc"					"총알로 인한 <span class=\"highlight\">피해를 감소</span>시킵니다."

//Improved Bullet Armor
"upgrade_improved_bullet_armor_desc"			"총알로 인한 <span class=\"highlight\">피해를 감소</span>시킵니다."

//Improved Bullet Armor
"upgrade_bullet_armor_2_desc"					"총알로 인한 <span class=\"highlight\">피해를 감소</span>시킵니다."

//Double-Jump
"upgrade_double_jump_desc"					"공중에서 추가로 <span class=\"highlight\">점프</span>를 수행할 수 있습니다."

//Overdrive
"upgrade_weapon_power_and_health_drain_desc"	"당신의 <span class=\"highlight\">용기</span>를 증가시키는 대신 <span class=\"highlight\">체력</span>을 소모합니다."

//Healing Aura
"upgrade_health_regen_aura_desc"			"자신과 근처 아군에게 매 <span class=\"highlight\">{s:HealInterval}초</span>마다 치유의 폭발을 자동으로 제공합니다. <br>효과는 중복되지 않습니다."
"TempMaxHealth_label"							"초과 치유 체력"

//Cheat Death
"upgrade_cheat_death_pulse_passive"		"주기적인 파동을 방출하여 근처 적에게 피해를 입힙니다."
"upgrade_cheat_death_unkillable_passive"	"치명적인 피해를 입을 때, 대신 <span class=\"highlight\">일시적으로 사망 면역</span> 상태가 됩니다. 사망 면역 상태일 때, 피해 파동의 비율이 크게 증가합니다."

//Healing Booster
"upgrade_healing_booster_desc"		"당신의 <span class=\"highlight_armor\">치유</span> 효과를 <span class=\"highlight\">{s:HealAmpRegenPercent}%</span> 증가시킵니다."

//Extra Health
"upgrade_health_desc"							"<span class=\"highlight\">체력</span>을 증가시킵니다."

//Melee Knockdown
"upgrade_proc_melee_stun_desc"					"당신의 <span class=\"highlight\">근접 콤보</span>의 3번째 공격이 적을 <span class=\"highlight\">기절</span>시킵니다."

//Debuff Reducer
"upgrade_debuff_reducer_desc"			"당신에게 적용된 모든 부정적인 효과의 <span class=\"highlight\">지속 시간</span>을 줄입니다."

//Debuff Remover
"upgrade_reduce_debuff_duration_desc"			"당신에게 적용된 모든 부정적인 효과의 <span class=\"highlight\">지속 시간</span>을 줄입니다."
"upgrade_reduce_debuff_duration_active_desc"	"<span class=\"highlight\">모든 부정적인 효과를 제거</span>합니다. 효과가 제거된 경우, <span class=\"highlight\">이동 속도 보너스</span>를 얻습니다. <br><span class=\"highlight\">기절</span> 또는 <span class=\"highlight\">잠듦</span> 상태에서는 사용할 수 없습니다."

//High Impact Armor
"upgrade_high_impact_armor_desc"				"고피해 총알에 대한 보호를 제공합니다. 임계값을 초과하는 모든 <span class=\"highlight\">총알 피해</span> 부분은 {s:DamageReduction}% 감소됩니다."
"damage_reduction_label"						"피해 감소"
"damage_reduction_postfix"						"%"

//Decay
"upgrade_rupture_desc"				"대상의 <span class=\"highlight\">치유</span>를 감소시키고 현재 체력의 <span class=\"highlight\">지속 피해</span>를 입힙니다.<br>부패의 피해로 죽지 않습니다."
"upgrade_rupture/modifier_rupture"	"부패"
"modifier_citadel_rupture"				"부패됨 - 이동 금지"

//Discord
"upgrade_discord_desc"						"적 또는 아군 대주변에 오라를 적용하여 <span class=\"highlight\">반경 내 적에게 피해를 주고 치유를 {s:HealAmpReceivePenaltyPercent}% 감소</span>시킵니다. 아군에게 사용하면 치유 효과도 있습니다."
"MaxHealthPercentAsDPS_label"				"초당 최대 체력"
"MaxHealthPercentAsDPS_postfix"				"%"
"MaxHealthPercentAsHealPerSecond_label"		"초당 최대 체력"
"MaxHealthPercentAsHealPerSecond_postfix"	"%"

//Tech Absorber
"upgrade_spell_absorb_desc"					"<span class=\"highlight\">대상 능력을 차단</span>합니다."

//Spirit Armor
"upgrade_tech_armor_desc"						"당신이 <span class=\"highlight\">스피릿</span> 능력으로부터 받는 피해를 감소시킵니다."

//Spirit Armor+
"upgrade_tech_armor_2_desc"					"당신이 <span class=\"highlight\">스피릿</span> 능력으로부터 받는 피해를 감소시킵니다."

//Bullet Deflector Shield
"upgrade_deflector_shield_desc"				"<span class=\"highlight\">총탄 보호막</span>을 추가하고, 총알 피해를 흡수하는 보호막을 제공합니다. 보호막은 전투 중이 아닐 때 재생됩니다 (10초 동안 피해 없음)."

//Fortitude
"upgrade_chonky_desc"							"<span class=\"highlight\">{s:RestoreDelay}s</span> 동안 피해를 입지 않으면, <span class=\"highlight\">{s:HealLifePercentOutOfCombat}% 최대 체력 재생</span>을 얻습니다."
"upgrade_chonky_high_health_passive_desc"		"당신이 <span class=\"highlight\">{s:HealthThreshold}% 체력 이상일 때</span>, 추가로 <span class=\"highlight\">무기 피해</span>와 <span class=\"highlight\">이동 속도</span>를 얻습니다."
"upgrade_out_of_combat_health_regen/modifier_citadel_armor_out_of_combat_health_regen"		"대사 나노 입자"

//Leech
"upgrade_damage_recycler_desc"				"적이 적용한 <span class=\"highlight\">치유 감소</span> 효과의 영향을 줄입니다."

//Rebirth
"upgrade_personal_rejuvenator_desc"		"영웅이 사망한 위치에서 부활합니다."
"RespawnDelay_label"							"재생 대기 시간"
"RespawnDelay_postfix"						"s"

//Phantom Strike
"upgrade_phantom_strike_desc"			"<span class=\"highlight\">적에게 순간 이동</span>하여 <span class=\"highlight\">무장 해제</span>, <span class=\"highlight\">둔화</span>를 적용하고 <span class=\"highlight\">피해</span>를 입힙니다."
"BarrierDuration_label"					"보호막 지속 시간"
"BarrierDuration_postfix"				"s"
"PhantomStrikeDebuffDuration_label"		"무장 해제 & 둔화 지속 시간"
"PhantomStrikeDebuffDuration_postfix"		"s"
"modifier_phantom_strike_bulletshield"		"총탄 보호막"

//Soul Rebirth
"upgrade_rebirth_passive"				"죽으면, {s:RespawnDelay}s 후에 <span class=\"highlight\">사망 위치에서</span> 일부 체력으로 다시 태어납니다."
		
//Shield Rush
"upgrade_active_bullet_shield_desc"				 "자신과 가까운 아군 영웅 및  하수인에게 일시적인 <span class=\"highlight\">총탄 보호막</span>을 부여합니다."
"upgrade_active_bullet_shield/modifier_duration" "총알 장벽"

//Weapon Jammer
"upgrade_bullet_damage_reduction_aura_desc"		"근처의 모든 적의 <span class=\"highlight\">연사 속도</span>를 감소시킵니다."
"modifier_fire_rate_reduction_aura"							"무기 방해기"
"upgrade_bullet_damage_reduction_aura/modifier_base_aura/aura_target_modifier"				"느려진 공격 속도"
"upgrade_fire_rate_reduction_aura/modifier_base_aura/aura_target_modifier"	"연사 속도 감소 오라"
		
//Return Fire
"upgrade_return_fire_desc"					"당신에게 피해를 입힌 공격자에게 자동으로 <span class=\"highlight\">총알을 발사</span>합니다."
"modifier_armor_return_fire"				"응사"
"ActiveFireRate_label"						"연사 속도"
"ActiveFireRate_postfix"						"%"
"modifier_citadel_basicdamagereflect" 	"피해 반사"

		//Metal Skin
"upgrade_metal_skin_desc"						"<span class=\"highlight\">총알 및 근접 공격에 면역</span>이 됩니다."
"AbilityApplyDelay_label"						"적용 시간"
"AbilityApplyDelay_postfix"						"s"
"modifier_citadel_metal_skin"								"메탈 스킨"

		//Regenerative Armor
"upgrade_regenerative_armor_desc"	"영웅의 총알 피해를 받을 때, 짧은 시간 동안 체력 재생을 얻습니다."

		//Combat Barrier
"upgrade_regenerating_bullet_shield_desc"	"당신이 <span class=\"highlight\">총탄 보호막</span>을 가진 동안, <span class=\"highlight\">무기 피해</span>를 얻습니다."
"BonusBaseWeaponDamageWithShield_label"		"보호막이 있을 때 무기 피해"
"BonusBaseWeaponDamageWithShield_postfix"	"%"
"BonusBaseWeaponDamageWithShield_prefix"	"+"

		//Enchanter's Barrier
		"upgrade_magic_shield_desc"		"당신이 <span class=\"highlight\">스피릿 보호막</span>을 가진 동안, 보너스 <span class=\"highlight\">스피릿 위력</span>을 얻습니다."
		"BonusSpiritWithMagicShield_label"		"보호막이 있을 때 스피릿 위력"
		"BonusSpiritWithMagicShield_prefix"		"+"
		"CooldownReductionWithShield_label"		"보호막이 있을 때 쿨다운 감소"
		"CooldownReductionWithShield_prefix"	"+"
		"CooldownReductionWithShield_postfix"	"%"


		//Aerial Assault
"upgrade_aerial_assault_active"		"<span class=\"highlight\">수직으로 높이 발사</span>합니다. 공중에 있는 동안 {s:AssaultDuration}s 동안 공중 이동이 일시 정지됩니다. 이 시간 동안 <span class=\"highlight\">+{s:AssaultLifestealPercent}% 총알 생명력 흡수</span>, <span class=\"highlight\">무제한 클립</span>, <span class=\"highlight\">+{s:AssaultFireRate}% 연사 속도</span>, 그리고 <span class=\"highlight\">폭발하는</span> 총알이 {s:ExplodeRadius}m 반경에 생성됩니다."
"upgrade_aerial_assault/modifier_aerial_assault_watcher/modifier_aerial_assault"		"공중 폭격"
"modifier_aerial_assault"					"공중 폭격"
		
		//Combo Breaker
"upgrade_combo_breaker_desc"		"<span class=\"highlight\">모든 약화 효과를 제거</span>하고 자신을 치유합니다. <br><span class=\"highlight\">기절 상태에서도 사용 가능</span>."
"upgrade_combo_breaker/modifier_combo_breaker"	"콤보 브레이커"

		//Unstoppable - Deprecated
"upgrade_slow_immunity_desc"					"사용 시 뿌리와 체인을 제거하고 지속 시간 동안 느려지지 않게 합니다."
"modifier_slow_immunity"						"막을 수 없음"

		//Unstoppable
"upgrade_unstoppable_desc"				"<span class=\"highlight\">부정적인 상태 효과를 정화</span>하고, <span class=\"highlight\">기절, 침묵, 수면, 속박, 무장 해제</span>에 <span class=\"highlight\">면역</span>이 됩니다."
"modifier_unstoppable"							"저지불가"

		//Colossus
"upgrade_colossus_desc"			"<span class=\"highlight\">총알 및 스피릿 저항</span>을 얻고, 가까운 적의 <span class=\"highlight\">이동 및 대시 속도</span>를 늦춥니다. 모델 크기가 20% 증가합니다."

		//Ablative Coat
"upgrade_ablative_coat_desc"			"<span class=\"highlight\">총탄 저항</span>을 제공합니다. 그러나 무기 피해를 받을 때마다 일부를 잃습니다. 손실은 {s:StackLossFrequency}s마다 한 번만 발생할 수 있습니다. 전투 중이 아닐 때 총탄 저항이 복원됩니다."
"upgrade_ablative_coat_innate"			"시간이 지남에 따라 <span class=\"highlight\">전진 이동 속도</span>가 증가합니다. Ablative Coat가 0 총탄 저항으로 감소하면, 피해를 받으면 효과가 <span class=\"highlight\">1.5s</span> 동안 초기화됩니다."

		//-----------------------------------------------------------------------------
		// Upgrades: Utility
		//----------------------------------------------------------------------------- 
	//Sprint Boots
"upgrade_sprint_booster_desc"				"시간이 지남에 따라 <span class=\"highlight\">전진 이동 속도</span>가 증가합니다. 피해를 받으면 효과가 <span class=\"highlight\">1.5s</span> 동안 초기화됩니다."

//Superior Stamina
"upgrade_superior_stamina_passive"			"<span class=\"highlight\">공중 대시</span>와 <span class=\"highlight\">공중 점프</span>의 횟수를 <span class=\"highlight\">1에서 2</span>로 증가시킵니다."

//Enduring Speed
"upgrade_cardio_calibrator_desc"			"적의 <span class=\"highlight\">이동 둔화</span> 효과를 줄입니다."

//Health Nova
